component,status,lastScannedAt,lastSourceModifiedAt,lastEditedBy,lastEditedAt,lastEditedSourceFile,changedSinceLastScan,scanReason,skipReason,sourceFileCount,missingKnowledgeFileCount
"falcon-accordion","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.611+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/accordion.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",9,0
"falcon-avatar","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.611+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/avatar.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-badge","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.612+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/badge.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-button","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.612+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/button.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",9,0
"falcon-calendar","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.612+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/calendar.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",9,0
"falcon-calendar-legacy","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.647+03:00","RashaAmjad <109524575+RashaAmjad@users.noreply.github.com>","2026-05-10T14:29:48+03:00","libs/falcon/src/shared-ui/lib/components/falcon-calendar/falcon-calendar.component.ts","false","","no source changes since lastScannedAt; all required knowledge files present",3,0
"falcon-card","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.613+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/card.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-checkbox","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.613+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/checkbox.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",9,0
"falcon-checkbox-group","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.613+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:47:37+03:00","libs/falcon-ui-core/src/components/falcon-checkbox-group-tw/falcon-checkbox-group-tw.tsx","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-combobox","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.613+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/combobox.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-confirm-dialog","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.614+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/confirm-dialog.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-data-table","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.614+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/data-table.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",6,0
"falcon-date-picker","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.340+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-11T20:16:04+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-date-picker/falcon-date-picker.component.ts","false","","no source changes since lastScannedAt; all required knowledge files present",6,0
"falcon-dialog","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.614+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/dialog.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
"falcon-drawer","skipped","2026-05-13T23:55:14.180+03:00","2026-05-13T23:48:22.615+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/drawer.tokens.css","false","","no source changes since lastScannedAt; all required knowledge files present",8,0
